date,rad_sum,rad_direct,cloud_pct,soc_morning,morning_ah,delta_soc,soc_eod,eod_ah
2026-03-27,3796.0,2260.0,38.0,82.0,516.7,19.9,100.0,630.0
2026-03-28,3823.0,2426.0,20.0,96.0,604.8,20.1,100.0,630.0
2026-03-29,2571.0,512.0,91.0,96.0,604.8,10.4,100.0,630.0
2026-03-30,2378.0,198.0,99.0,96.0,604.8,8.9,100.0,630.0
2026-03-31,2897.0,893.0,70.0,96.0,604.8,12.9,100.0,630.0
2026-04-01,2003.0,630.0,93.0,96.0,604.8,6.0,100.0,630.0
